id,name,restype,repo_owner,repo_name,repo_commit_hash,icon,cover,tags,device_vendors,devices,paid_type
com.searchstars.hyperbilibili,澎湃哔哩,quick_app,searchstars,Hyperbilibili_AstroBox_Release,650a7b4,icon.png,preview.png,客户端;实用工具;视频;社区;互动;在线;哔哩哔哩;B站;b站,xiaomi,xmws3;xmws4;xmrw5xring,
LegacyItem1,Starfield Chronomark,watchface,Searchstars,StarfieldWatchFace_AstroBox_Release,efdc847,icon.png,preview.png,复刻;Starfield;星空;表盘;简约,xiaomi,xmws3;xmws4,
LegacyItem2,木鱼Pro,quick_app,wuhaiqi0621,muyuPro_ForAstroBox,217b10d,icon.png,head.png,实用工具;木鱼;游戏,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc,paid
LegacyItem3,Hyper Box,quick_app,wuhaiqi0621,HyperBox_ForAstroBox,e7c6ffb,icon.png,head.png,实用工具;工具箱;计算器;水平仪;每日一言;歌词本;答案之书;木鱼;性能测试;摩斯密码;二维码;跑马灯;荧光棒,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc,
LegacyItem4,倒数日 快应用,quick_app,sf-yuzifu,Daymatter_Quickapp_AstroBox_Release,58c4fec,icon.png,preview.png,实用工具;日历;倒数日;倒计时;备忘录;提醒;日程,xiaomi,xmb9;xmb9p;xmws4;xmws4xring;xmrw5;xmrw5xring;xmb10;xmb10nfc,
LegacyItem5,倒数日 表盘,watchface,sf-yuzifu,Daymatter_Watchface_AstroBox_Release,eadfab6,icon.png,preview.png,实用工具;日历;倒数日;倒计时;备忘录;提醒;日程;表盘,xiaomi,xmb9;xmb9p;xmws4;xmws4xring;xmb10;xmb10nfc,
LegacyItem6,狂欢烟火大师赛,quick_app,sf-yuzifu,FireworkMaster_AstroBox_Release,b6f727c,icon.png,preview.png,游戏;休闲;烟花;明日方舟,xiaomi,xmb9;xmb9p;xmrw5;xmrw5xring;xmb10;xmb10nfc,
LegacyItem7,喵喵电子书,quick_app,NEORUAA,MiaoReader_AstroBox_Release,61d87d0,icon.png,cover.png,实用工具;电子书;阅读;小说,xiaomi,xmb10;xmb10nfc;xmb9p,
LegacyItem8,跃界,watchface,aurysian-yan,leap-n67-astrobox,fe87635,icon.png,cover.png,景深;壁纸;表盘;数据展示,xiaomi,xmb9p,
LegacyItem9,我的世界,quick_app,DDguan2010,vela-minecraft,0ce9eaa,icon.png,preview0.png,游戏;我的世界;开放世界;休闲,xiaomi,xmb10;xmb10nfc;xmb9;xmb9p,force_paid
LegacyItem10,realive 3(试用),watchface,CoraTech-Wear,realive-3-Watchface,eedf5cb,icon.png,cover.png,表盘;多功能;数据展示;双时区;时间壁纸,xiaomi,xmb10;xmb10nfc,paid
LegacyItem11,水平仪,quick_app,leset0ng,lstReleaseForAstroBox,be562f9,logo.png,cover.png,实用工具;水平仪;工具,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc;xmws3;xmws4;o63;xmrw5,
LegacyItem12,SekaiUI 初音未来表盘,watchface,SmallK111407,SekaiUI_AstroBox,ceb3805,icon.png,%E5%A4%B4%E5%9B%BE.png,表盘;世界计划;初音未来;数据展示;丰富样式,xiaomi,xmb9p;n65;xmrw5;xmrw5xring;xmrw6,
LegacyItem13,焕芯,watchface,ChiHuan08,HuanXin_AstroBox,f88980b,icon.png,%E5%A4%B4%E5%9B%BE.png,表盘;编辑控件;拼色;简约,xiaomi,xmb9p,
LegacyItem14,环间图库,quick_app,NEORUAA,BandAlbum_AstroBox_Release,4df5740,icon.png,cover.png,实用工具;图库;相册;图片,xiaomi,xmws4;xmws3;o63;xmws4xring;xmb10;xmb10nfc;xmb9;xmb9p,
LegacyItem15,设备详细信息,quick_app,Internet1235,DeviceInfo_AstroBox_Release,31f44d7,icon.svg,cover.svg,实用工具;设备信息;系统信息,xiaomi,xmb9;xmb10;xmb10nfc;xmb9p;xmws3;xmws4;xmws4xring;o63;xmrw5;xmrw5xring,
LegacyItem16,澄序课程表,quick_app,waterflames-team,clartime-velaapp-astroinfo,5b65c78,logo.png,cover.png,实用工具;课程表;简约;美观,xiaomi,xmb9p,
LegacyItem17,OK School Life,quick_app,CheongSzesuen,OKSchoolLife_AstroBox_Release,734c9dd,icon.png,head%401x.png,游戏;文字游戏;移植;校园模拟;学校;校园,xiaomi,xmb9p;xmb9;xmb10;xmb10nfc,
LegacyItem18,playball,quick_app,zyhsck,my_astrobox_ball,9d458d9,logo.png,cover.png,游戏,redmi,xmrw5;xmrw5xring,
LegacyItem19,《马力欧＆路易吉RPG 兄弟齐航》风格表盘 +,watchface,hrsthrt74,MLRPG-brothership-for-astrobox,5a4631e,icon.png,cover.png,任天堂;马力欧;路易吉;NintendoSwitch;多样式;多设备支持;景深;简约,xiaomi,xmb9p;xmrw5;xmrw5xring,
LegacyItem20,PRiSM+,watchface,hrsthrt74,prism-plus-for-astrobox,9b59135,icon.png,cover.png,SEGA;maimaiDX;舞萌 DX;简约;多设备支持,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc;xmrw5;xmrw5xring,
LegacyItem21,World of Race,watchface,hrsthrt74,world-of-race-for-astrobox,ec0e178,icon.png,cover.png,任天堂;马力欧;NintendoSwitch;简约,xiaomi,xmb9p;xmrw5;xmrw5xring,
LegacyItem22,The Commander 体验版,watchface,hrsthrt74,the-commander-for-astrobox,8393751,icon.png,cover.png,多种数据,xiaomi,xmb9p,paid
LegacyItem23,PoP☆P,watchface,hrsthrt74,pop-star-p-for-astrobox,5b387b3,icon.png,cover.png,任天堂;星之卡比;可爱;简约;多设备支持,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc;xmws4;xmws4xring;o63;xmrw5;xmrw5xring,
LegacyItem24,动态疾旋鼬,watchface,Eric-qiqi,Jixuanyou-for-astrobox,bd13cbb,icon.png,首页头图.png,可爱;动态;跳转;疾旋鼬,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc,
LegacyItem25,重圆2 体验版,watchface,OnDriveLine,Recircle2_AB,bfbfd62,icon.png,cover.png,表盘;可编辑控件;时间感知,xiaomi,xmb9;xmb10;xmb10nfc,paid
LegacyItem26,【可互动】心跳文学部 莫妮卡,watchface,sf-yuzifu,Monika,d1dfc16,icon.png,preview.png,表盘;可互动;心跳文学部;莫妮卡;ddlc;DDLC;Doki Doki Literature Club;心跳文学社;二次元;多设备支持;Monika;monika,xiaomi,xmb9;xmb9p;xmb10;xmb10nfc,
LegacyItem27,方块生活,quick_app,Azumachiaki,block_life,1d008b4,icon.png,cover.png,游戏;开放世界;沙盒游戏,xiaomi,xmb9p;xmb9;xmb10;xmb10nfc,force_paid
LegacyItem28,残星,quick_app,Azumachiaki,Fading_Star,acf9c7d,icon.png,cover.png,游戏;回合制;剧情游戏,xiaomi,xmb9p;xmb9;xmb10;xmb10nfc,force_paid
LegacyItem29,腕上芙宁娜Pro,quick_app,Dreamqiucn,Furina_of_band_PRO,638b247,logo.png,preview1.png,游戏;养成;战斗;原神;付费,xiaomi,xmb9;xmb9p;xmb10nfc;xmb10;xmrw5;xmrw5xring,force_paid
LegacyItem30,心情日记,quick_app,Dreamqiucn,feelingdiary-Astrobox,7ee5dde,logo.png,preview1.png,实用工具;日记;软件;免费,xiaomi,xmb9p,
LegacyItem31,高中古诗词,quick_app,Dreamqiucn,poem-Astrobox,c2a1e2c,logo.png,preview1.png,实用工具;软件;高中;学习工具;古诗;免费,xiaomi,xmb9p,
LegacyItem32,A.Chat,quick_app,Azumachiaki,A.Chat,9d4c793,icon.png,cover.png,实用工具;聊天软件;在线,xiaomi,xmb9p;xmws3;xmws4;xmws4xring;o63;xmrw5;xmrw5xring,paid
LegacyItem33,点阵Dot,watchface,zaona,dot-astrobox-release,5b8929f,icon.png,preview.png,表盘;简约,xiaomi,xmb10;xmb10nfc,
LegacyItem34,番茄钟,quick_app,zyhsck,my_astrobox_tomatoclock,0737ba3,logo.png,cover.jpeg,工具,redmi,xmrw5;xmrw5xring,
LegacyItem35,多功能组件,watchface,RX79XT,Multi-functional-component_AstroBox,7a826f3,icon.png,preview1.png,可编辑;付费;简约,xiaomi,xmws4;xmws4xring;xmb9;n62s,paid
LegacyItem36,舒尔特方格,quick_app,yzl3014,AstroBox_Schulte,7490ae5,logo.png,cover.png,游戏;舒尔特方格;专注力;Schulte Grid,xiaomi,xmb9p,
LegacyItem37,ATRI,quick_app,liuyuze61,ATRI_AstroBox,eebedd6,logo.png,preview.png,galgame,xiaomi,xmb10;xmb9;xmb10nfc;xmb9p,
LegacyItem38,抽卡人生,quick_app,easejun,cardSimulater_AstroBox_Release,275d99c,icon.png,preview.png,游戏;模拟,xiaomi,xmb9;xmb9p;xmrw5;xmrw5xring,force_paid
LegacyItem39,奇阵防,quick_app,easejun,arcaneArray_AstroBox_Release,9709cda,icon.png,preview.png,游戏;塔防游戏,xiaomi,xmb9p;xmrw5;xmrw5xring,force_paid
LegacyItem40,钓鱼,quick_app,easejun,fish_AstroBox_Release,c33ce11,icon.png,preview.png,游戏;模拟,xiaomi,xmb9p;xmrw5;xmrw5xring,force_paid
